Month,Day,Year, Annual Change, Inflation Rate (%),Annual Average CPI(-U),Annual Percent Change, price,return
8,20,1973,2.91,6.1778,44.4,0.062,0.6735,-0.0025
8,21,1973,2.91,6.1778,44.4,0.062,0.671,-0.013
8,22,1973,2.91,6.1778,44.4,0.062,0.658,0.0095
8,23,1973,2.91,6.1778,44.4,0.062,0.6675,-0.0015
8,24,1973,2.91,6.1778,44.4,0.062,0.666,-0.007
8,27,1973,2.91,6.1778,44.4,0.062,0.659,-0.019
8,28,1973,2.91,6.1778,44.4,0.062,0.64,-0.0055
8,29,1973,2.91,6.1778,44.4,0.062,0.6345,0.0042
8,30,1973,2.91,6.1778,44.4,0.062,0.6387,0.0015
8,31,1973,2.91,6.1778,44.4,0.062,0.6402,0.003
9,4,1973,2.91,6.1778,44.4,0.062,0.6432,-0.0062
9,5,1973,2.91,6.1778,44.4,0.062,0.637,-0.001
9,6,1973,2.91,6.1778,44.4,0.062,0.636,0.002
9,7,1973,2.91,6.1778,44.4,0.062,0.638,-0.0045
9,10,1973,2.91,6.1778,44.4,0.062,0.6335,-0.0033
9,11,1973,2.91,6.1778,44.4,0.062,0.6302,0.0063
9,12,1973,2.91,6.1778,44.4,0.062,0.6365,0.0085
9,13,1973,2.91,6.1778,44.4,0.062,0.645,0.0195
9,14,1973,2.91,6.1778,44.4,0.062,0.6645,-0.007
9,17,1973,2.91,6.1778,44.4,0.062,0.6575,-0.0013
9,18,1973,2.91,6.1778,44.4,0.062,0.6562,-0.0047
9,19,1973,2.91,6.1778,44.4,0.062,0.6515,-0.0035
9,20,1973,2.91,6.1778,44.4,0.062,0.648,-0.0015
9,21,1973,2.91,6.1778,44.4,0.062,0.6465,0.0105
9,24,1973,2.91,6.1778,44.4,0.062,0.657,0.016
9,25,1973,2.91,6.1778,44.4,0.062,0.673,0.011
9,26,1973,2.91,6.1778,44.4,0.062,0.684,0.0015
9,27,1973,2.91,6.1778,44.4,0.062,0.6855,-0.0073
9,28,1973,2.91,6.1778,44.4,0.062,0.6782,0.0018
10,1,1973,2.91,6.1778,44.4,0.062,0.68,0.0047
10,2,1973,2.91,6.1778,44.4,0.062,0.6847,-0.0002
10,3,1973,2.91,6.1778,44.4,0.062,0.6845,-0.0033
10,4,1973,2.91,6.1778,44.4,0.062,0.6812,0.001
10,5,1973,2.91,6.1778,44.4,0.062,0.6822,-0.0052
10,9,1973,2.91,6.1778,44.4,0.062,0.677,0.0025
10,10,1973,2.91,6.1778,44.4,0.062,0.6795,-0.0093
10,11,1973,2.91,6.1778,44.4,0.062,0.6702,-0.0195
10,12,1973,2.91,6.1778,44.4,0.062,0.6507,-0.0092
10,15,1973,2.91,6.1778,44.4,0.062,0.6415,0.0018
10,16,1973,2.91,6.1778,44.4,0.062,0.6433,-0.0013
10,17,1973,2.91,6.1778,44.4,0.062,0.642,0.0073
10,18,1973,2.91,6.1778,44.4,0.062,0.6493,0.0027
10,19,1973,2.91,6.1778,44.4,0.062,0.652,0
10,23,1973,2.91,6.1778,44.4,0.062,0.652,-0.0067
10,24,1973,2.91,6.1778,44.4,0.062,0.6453,0.003
10,25,1973,2.91,6.1778,44.4,0.062,0.6483,-0.0005
10,26,1973,2.91,6.1778,44.4,0.062,0.6478,-0.004
10,29,1973,2.91,6.1778,44.4,0.062,0.6438,0.001
10,30,1973,2.91,6.1778,44.4,0.062,0.6448,0.0057
10,31,1973,2.91,6.1778,44.4,0.062,0.6505,0.0039
11,1,1973,2.91,6.1778,44.4,0.062,0.6544,-0.0069
11,2,1973,2.91,6.1778,44.4,0.062,0.6475,0.0045
11,5,1973,2.91,6.1778,44.4,0.062,0.652,0.003
11,7,1973,2.91,6.1778,44.4,0.062,0.655,0.002
11,8,1973,2.91,6.1778,44.4,0.062,0.657,0
11,9,1973,2.91,6.1778,44.4,0.062,0.657,0.004
11,12,1973,2.91,6.1778,44.4,0.062,0.661,-0.004
11,13,1973,2.91,6.1778,44.4,0.062,0.657,-0.0157
11,14,1973,2.91,6.1778,44.4,0.062,0.6413,0.0032
11,15,1973,2.91,6.1778,44.4,0.062,0.6445,0.0025
11,16,1973,2.91,6.1778,44.4,0.062,0.647,0.0033
11,19,1973,2.91,6.1778,44.4,0.062,0.6503,-0.0103
11,20,1973,2.91,6.1778,44.4,0.062,0.64,-0.0019
11,21,1973,2.91,6.1778,44.4,0.062,0.6381,0.0029
11,23,1973,2.91,6.1778,44.4,0.062,0.641,-0.0135
11,26,1973,2.91,6.1778,44.4,0.062,0.6275,0.0005
11,27,1973,2.91,6.1778,44.4,0.062,0.628,0.0064
11,28,1973,2.91,6.1778,44.4,0.062,0.6344,0.0154
11,29,1973,2.91,6.1778,44.4,0.062,0.6498,0.0036
11,30,1973,2.91,6.1778,44.4,0.062,0.6534,0.0084
12,3,1973,2.91,6.1778,44.4,0.062,0.6618,0.0027
12,4,1973,2.91,6.1778,44.4,0.062,0.6645,0.001
12,5,1973,2.91,6.1778,44.4,0.062,0.6655,-0.0015
12,6,1973,2.91,6.1778,44.4,0.062,0.664,0.0078
12,7,1973,2.91,6.1778,44.4,0.062,0.6718,0.0132
12,10,1973,2.91,6.1778,44.4,0.062,0.685,-0.0115
12,11,1973,2.91,6.1778,44.4,0.062,0.6735,0.0004
12,12,1973,2.91,6.1778,44.4,0.062,0.6739,-0.0041
12,13,1973,2.91,6.1778,44.4,0.062,0.6698,-0.0028
12,14,1973,2.91,6.1778,44.4,0.062,0.667,0.0018
12,17,1973,2.91,6.1778,44.4,0.062,0.6688,0.0005
12,18,1973,2.91,6.1778,44.4,0.062,0.6693,0.0027
12,19,1973,2.91,6.1778,44.4,0.062,0.672,0.0008
12,20,1973,2.91,6.1778,44.4,0.062,0.6728,0.0005
12,21,1973,2.91,6.1778,44.4,0.062,0.6733,0.003
12,26,1973,2.91,6.1778,44.4,0.062,0.6763,-0.0023
12,27,1973,2.91,6.1778,44.4,0.062,0.674,-0.0035
12,28,1973,2.91,6.1778,44.4,0.062,0.6705,0.0035
12,31,1973,2.91,6.1778,44.4,0.062,0.674,0.015
1,2,1974,4.88,11.0548,49.3,0.111,0.689,-0.001
1,3,1974,4.88,11.0548,49.3,0.111,0.688,-0.004
1,4,1974,4.88,11.0548,49.3,0.111,0.684,0.0138
1,7,1974,4.88,11.0548,49.3,0.111,0.6978,-0.0058
1,8,1974,4.88,11.0548,49.3,0.111,0.692,-0.0017
1,9,1974,4.88,11.0548,49.3,0.111,0.6903,0.0055
1,10,1974,4.88,11.0548,49.3,0.111,0.6958,0.0127
1,11,1974,4.88,11.0548,49.3,0.111,0.7085,0.02
1,14,1974,4.88,11.0548,49.3,0.111,0.7285,-0.009
1,15,1974,4.88,11.0548,49.3,0.111,0.7195,0.0043
1,16,1974,4.88,11.0548,49.3,0.111,0.7238,-0.0048
1,17,1974,4.88,11.0548,49.3,0.111,0.719,-0.001
1,18,1974,4.88,11.0548,49.3,0.111,0.718,0.02
1,21,1974,4.88,11.0548,49.3,0.111,0.738,-0.007
1,22,1974,4.88,11.0548,49.3,0.111,0.731,-0.0085
1,23,1974,4.88,11.0548,49.3,0.111,0.7225,0.018
1,24,1974,4.88,11.0548,49.3,0.111,0.7405,0.008
1,25,1974,4.88,11.0548,49.3,0.111,0.7485,-0.006
1,28,1974,4.88,11.0548,49.3,0.111,0.7425,-0.0052
1,29,1974,4.88,11.0548,49.3,0.111,0.7373,-0.0045
1,30,1974,4.88,11.0548,49.3,0.111,0.7328,-0.0063
1,31,1974,4.88,11.0548,49.3,0.111,0.7265,0.0068
2,1,1974,4.88,11.0548,49.3,0.111,0.7333,0.02
2,4,1974,4.88,11.0548,49.3,0.111,0.7533,0.0017
2,5,1974,4.88,11.0548,49.3,0.111,0.755,-0.0145
2,6,1974,4.88,11.0548,49.3,0.111,0.7405,0.0095
2,7,1974,4.88,11.0548,49.3,0.111,0.75,0.018
2,8,1974,4.88,11.0548,49.3,0.111,0.768,0.02
2,11,1974,4.88,11.0548,49.3,0.111,0.788,-0.02
2,13,1974,4.88,11.0548,49.3,0.111,0.768,0.005
2,14,1974,4.88,11.0548,49.3,0.111,0.773,0.007
2,15,1974,4.88,11.0548,49.3,0.111,0.78,-0.02
2,19,1974,4.88,11.0548,49.3,0.111,0.76,-0.0175
2,20,1974,4.88,11.0548,49.3,0.111,0.7425,0.02
2,21,1974,4.88,11.0548,49.3,0.111,0.7625,-0.0077
2,22,1974,4.88,11.0548,49.3,0.111,0.7548,-0.0072
2,25,1974,4.88,11.0548,49.3,0.111,0.7476,0.0149
2,26,1974,4.88,11.0548,49.3,0.111,0.7625,-0.0183
2,27,1974,4.88,11.0548,49.3,0.111,0.7442,-0.0095
2,28,1974,4.88,11.0548,49.3,0.111,0.7347,0.0023
3,1,1974,4.88,11.0548,49.3,0.111,0.737,-0.0189
3,4,1974,4.88,11.0548,49.3,0.111,0.7181,-0.0156
3,5,1974,4.88,11.0548,49.3,0.111,0.7025,0.0165
3,6,1974,4.88,11.0548,49.3,0.111,0.719,0.001
3,7,1974,4.88,11.0548,49.3,0.111,0.72,0.0048
3,8,1974,4.88,11.0548,49.3,0.111,0.7248,-0.004
3,11,1974,4.88,11.0548,49.3,0.111,0.7208,0
3,12,1974,4.88,11.0548,49.3,0.111,0.7208,0.0025
3,13,1974,4.88,11.0548,49.3,0.111,0.7233,0.016
3,14,1974,4.88,11.0548,49.3,0.111,0.7393,-0.003
3,15,1974,4.88,11.0548,49.3,0.111,0.7363,0.007
3,18,1974,4.88,11.0548,49.3,0.111,0.7433,-0.0115
3,19,1974,4.88,11.0548,49.3,0.111,0.7318,0.0135
3,20,1974,4.88,11.0548,49.3,0.111,0.7453,0.02
3,21,1974,4.88,11.0548,49.3,0.111,0.7653,-0.0085
3,22,1974,4.88,11.0548,49.3,0.111,0.7568,-0.02
3,25,1974,4.88,11.0548,49.3,0.111,0.7368,-0.0168
3,26,1974,4.88,11.0548,49.3,0.111,0.72,0.014
3,27,1974,4.88,11.0548,49.3,0.111,0.734,-0.0025
3,28,1974,4.88,11.0548,49.3,0.111,0.7315,0.0175
3,29,1974,4.88,11.0548,49.3,0.111,0.749,-0.0185
4,1,1974,4.88,11.0548,49.3,0.111,0.7305,0.006
4,2,1974,4.88,11.0548,49.3,0.111,0.7365,-0.0025
4,3,1974,4.88,11.0548,49.3,0.111,0.734,0.0085
4,4,1974,4.88,11.0548,49.3,0.111,0.7425,-0.0165
4,5,1974,4.88,11.0548,49.3,0.111,0.726,-0.018
4,8,1974,4.88,11.0548,49.3,0.111,0.708,0.004
4,9,1974,4.88,11.0548,49.3,0.111,0.712,0.004
4,10,1974,4.88,11.0548,49.3,0.111,0.716,-0.002
4,11,1974,4.88,11.0548,49.3,0.111,0.714,-0.004
4,15,1974,4.88,11.0548,49.3,0.111,0.71,-0.02
4,16,1974,4.88,11.0548,49.3,0.111,0.69,0.0093
4,17,1974,4.88,11.0548,49.3,0.111,0.6993,0.0077
4,18,1974,4.88,11.0548,49.3,0.111,0.707,0.0078
4,19,1974,4.88,11.0548,49.3,0.111,0.7148,0.0042
4,22,1974,4.88,11.0548,49.3,0.111,0.719,-0.015
4,23,1974,4.88,11.0548,49.3,0.111,0.704,-0.0055
4,24,1974,4.88,11.0548,49.3,0.111,0.6985,0.0005
4,25,1974,4.88,11.0548,49.3,0.111,0.699,0.0098
4,26,1974,4.88,11.0548,49.3,0.111,0.7088,0.0074
4,29,1974,4.88,11.0548,49.3,0.111,0.7162,0.0084
4,30,1974,4.88,11.0548,49.3,0.111,0.7246,0.0209
5,1,1974,4.88,11.0548,49.3,0.111,0.7455,-0.0015
5,2,1974,4.88,11.0548,49.3,0.111,0.744,-0.0025
5,3,1974,4.88,11.0548,49.3,0.111,0.7415,-0.02
5,6,1974,4.88,11.0548,49.3,0.111,0.7215,0.007
5,7,1974,4.88,11.0548,49.3,0.111,0.7285,0.0071
5,8,1974,4.88,11.0548,49.3,0.111,0.7356,0.0102
5,9,1974,4.88,11.0548,49.3,0.111,0.7458,0.0005
5,10,1974,4.88,11.0548,49.3,0.111,0.7463,-0.0125
5,13,1974,4.88,11.0548,49.3,0.111,0.7338,-0.0013
5,14,1974,4.88,11.0548,49.3,0.111,0.7325,-0.02
5,15,1974,4.88,11.0548,49.3,0.111,0.7125,0.0168
5,16,1974,4.88,11.0548,49.3,0.111,0.7293,0.0062
5,17,1974,4.88,11.0548,49.3,0.111,0.7355,-0.0077
5,20,1974,4.88,11.0548,49.3,0.111,0.7278,0.005
5,21,1974,4.88,11.0548,49.3,0.111,0.7328,-0.0018
5,22,1974,4.88,11.0548,49.3,0.111,0.731,-0.0172
5,23,1974,4.88,11.0548,49.3,0.111,0.7138,0.0105
5,24,1974,4.88,11.0548,49.3,0.111,0.7243,-0.0078
5,28,1974,4.88,11.0548,49.3,0.111,0.7165,0.009
5,29,1974,4.88,11.0548,49.3,0.111,0.7255,0.0008
5,30,1974,4.88,11.0548,49.3,0.111,0.7263,0.005
5,31,1974,4.88,11.0548,49.3,0.111,0.7313,0.0042
6,3,1974,4.88,11.0548,49.3,0.111,0.7355,-0.003
6,4,1974,4.88,11.0548,49.3,0.111,0.7325,0.0068
6,5,1974,4.88,11.0548,49.3,0.111,0.7393,0.0035
6,6,1974,4.88,11.0548,49.3,0.111,0.7428,0.0007
6,7,1974,4.88,11.0548,49.3,0.111,0.7435,0.007
6,10,1974,4.88,11.0548,49.3,0.111,0.7505,-0.0027
6,11,1974,4.88,11.0548,49.3,0.111,0.7478,-0.0003
6,12,1974,4.88,11.0548,49.3,0.111,0.7475,0.0005
6,13,1974,4.88,11.0548,49.3,0.111,0.748,0.0015
6,14,1974,4.88,11.0548,49.3,0.111,0.7495,-0.0125
6,17,1974,4.88,11.0548,49.3,0.111,0.737,-0.02
6,18,1974,4.88,11.0548,49.3,0.111,0.717,0.0148
6,19,1974,4.88,11.0548,49.3,0.111,0.7318,-0.0058
6,20,1974,4.88,11.0548,49.3,0.111,0.726,-0.0162
6,21,1974,4.88,11.0548,49.3,0.111,0.7098,-0.02
6,24,1974,4.88,11.0548,49.3,0.111,0.6898,-0.0146
6,25,1974,4.88,11.0548,49.3,0.111,0.6752,0.0162
6,26,1974,4.88,11.0548,49.3,0.111,0.6914,-0.0046
6,27,1974,4.88,11.0548,49.3,0.111,0.6868,0.0186
6,28,1974,4.88,11.0548,49.3,0.111,0.7054,0.0021
7,1,1974,4.88,11.0548,49.3,0.111,0.7075,0.0035
7,2,1974,4.88,11.0548,49.3,0.111,0.711,0.012
7,3,1974,4.88,11.0548,49.3,0.111,0.723,-0.005
7,5,1974,4.88,11.0548,49.3,0.111,0.718,-0.02
7,8,1974,4.88,11.0548,49.3,0.111,0.698,-0.008
7,9,1974,4.88,11.0548,49.3,0.111,0.69,0.009
7,10,1974,4.88,11.0548,49.3,0.111,0.699,0.02
7,11,1974,4.88,11.0548,49.3,0.111,0.719,0.009
7,12,1974,4.88,11.0548,49.3,0.111,0.728,-0.002
7,15,1974,4.88,11.0548,49.3,0.111,0.726,0.0032
7,16,1974,4.88,11.0548,49.3,0.111,0.7292,0.0036
7,17,1974,4.88,11.0548,49.3,0.111,0.7328,-0.02
7,18,1974,4.88,11.0548,49.3,0.111,0.7128,-0.02
7,19,1974,4.88,11.0548,49.3,0.111,0.6928,0.0022
7,22,1974,4.88,11.0548,49.3,0.111,0.695,-0.015
7,23,1974,4.88,11.0548,49.3,0.111,0.68,0.0185
7,24,1974,4.88,11.0548,49.3,0.111,0.6985,-0.0085
7,25,1974,4.88,11.0548,49.3,0.111,0.69,0.007
7,26,1974,4.88,11.0548,49.3,0.111,0.697,-0.0062
7,29,1974,4.88,11.0548,49.3,0.111,0.6908,0.0072
7,30,1974,4.88,11.0548,49.3,0.111,0.698,-0.0055
7,31,1974,4.88,11.0548,49.3,0.111,0.6925,-0.02
8,1,1974,4.88,11.0548,49.3,0.111,0.6725,-0.009
8,2,1974,4.88,11.0548,49.3,0.111,0.6635,-0.0145
8,5,1974,4.88,11.0548,49.3,0.111,0.649,-0.003
8,6,1974,4.88,11.0548,49.3,0.111,0.646,-0.02
8,7,1974,4.88,11.0548,49.3,0.111,0.626,-0.001
8,8,1974,4.88,11.0548,49.3,0.111,0.625,-0.0007
8,9,1974,4.88,11.0548,49.3,0.111,0.6243,-0.0196
8,12,1974,4.88,11.0548,49.3,0.111,0.6047,0.0193
8,13,1974,4.88,11.0548,49.3,0.111,0.624,-0.02
8,14,1974,4.88,11.0548,49.3,0.111,0.604,-0.005
8,15,1974,4.88,11.0548,49.3,0.111,0.599,-0.0055
8,16,1974,4.88,11.0548,49.3,0.111,0.5935,-0.0115
8,19,1974,4.88,11.0548,49.3,0.111,0.582,0.02
8,20,1974,4.88,11.0548,49.3,0.111,0.602,0.02
8,21,1974,4.88,11.0548,49.3,0.111,0.622,0.02
8,22,1974,4.88,11.0548,49.3,0.111,0.642,0.0195
8,23,1974,4.88,11.0548,49.3,0.111,0.6615,0.04
8,26,1974,4.88,11.0548,49.3,0.111,0.7015,-0.0073
8,27,1974,4.88,11.0548,49.3,0.111,0.6942,-0.0348
8,28,1974,4.88,11.0548,49.3,0.111,0.6594,-0.0213
8,29,1974,4.88,11.0548,49.3,0.111,0.6381,-0.0333
8,30,1974,4.88,11.0548,49.3,0.111,0.6048,-0.0313
9,3,1974,4.88,11.0548,49.3,0.111,0.5735,-0.009
9,4,1974,4.88,11.0548,49.3,0.111,0.5645,-0.0085
9,5,1974,4.88,11.0548,49.3,0.111,0.556,0.0055
9,6,1974,4.88,11.0548,49.3,0.111,0.5615,0.001
9,9,1974,4.88,11.0548,49.3,0.111,0.5625,0.0025
9,10,1974,4.88,11.0548,49.3,0.111,0.565,-0.017
9,11,1974,4.88,11.0548,49.3,0.111,0.548,-0.01
9,12,1974,4.88,11.0548,49.3,0.111,0.538,-0.02
9,13,1974,4.88,11.0548,49.3,0.111,0.518,-0.0163
9,16,1974,4.88,11.0548,49.3,0.111,0.5017,0.02
9,17,1974,4.88,11.0548,49.3,0.111,0.5217,-0.0172
9,18,1974,4.88,11.0548,49.3,0.111,0.5045,0.02
9,19,1974,4.88,11.0548,49.3,0.111,0.5245,-0.003
9,20,1974,4.88,11.0548,49.3,0.111,0.5215,0.02
9,23,1974,4.88,11.0548,49.3,0.111,0.5415,0.0075
9,24,1974,4.88,11.0548,49.3,0.111,0.549,0.02
9,25,1974,4.88,11.0548,49.3,0.111,0.569,-0.0075
9,26,1974,4.88,11.0548,49.3,0.111,0.5615,0.0005
9,27,1974,4.88,11.0548,49.3,0.111,0.562,-0.02
9,30,1974,4.88,11.0548,49.3,0.111,0.542,0.0025
10,1,1974,4.88,11.0548,49.3,0.111,0.5445,0.008
10,2,1974,4.88,11.0548,49.3,0.111,0.5525,0.0125
10,3,1974,4.88,11.0548,49.3,0.111,0.565,-0.001
10,4,1974,4.88,11.0548,49.3,0.111,0.564,0.001
10,7,1974,4.88,11.0548,49.3,0.111,0.565,0.02
10,8,1974,4.88,11.0548,49.3,0.111,0.585,-0.0045
10,9,1974,4.88,11.0548,49.3,0.111,0.5805,0.004
10,10,1974,4.88,11.0548,49.3,0.111,0.5845,-0.0001
10,11,1974,4.88,11.0548,49.3,0.111,0.5844,0.0118
10,15,1974,4.88,11.0548,49.3,0.111,0.5962,-0.003
10,16,1974,4.88,11.0548,49.3,0.111,0.5932,-0.0074
10,17,1974,4.88,11.0548,49.3,0.111,0.5858,-0.0023
10,18,1974,4.88,11.0548,49.3,0.111,0.5835,-0.0095
10,21,1974,4.88,11.0548,49.3,0.111,0.574,0.006
10,22,1974,4.88,11.0548,49.3,0.111,0.58,0
10,23,1974,4.88,11.0548,49.3,0.111,0.58,-0.0075
10,24,1974,4.88,11.0548,49.3,0.111,0.5725,-0.006
10,25,1974,4.88,11.0548,49.3,0.111,0.5665,0.0125
10,28,1974,4.88,11.0548,49.3,0.111,0.579,-0.009
10,29,1974,4.88,11.0548,49.3,0.111,0.57,0.0059
10,30,1974,4.88,11.0548,49.3,0.111,0.5759,0.0001
10,31,1974,4.88,11.0548,49.3,0.111,0.576,-0.004
11,1,1974,4.88,11.0548,49.3,0.111,0.572,0
11,4,1974,4.88,11.0548,49.3,0.111,0.572,0.008
11,6,1974,4.88,11.0548,49.3,0.111,0.58,0.0073
11,7,1974,4.88,11.0548,49.3,0.111,0.5873,0.0092
11,8,1974,4.88,11.0548,49.3,0.111,0.5965,0.02
11,12,1974,4.88,11.0548,49.3,0.111,0.6165,-0.0168
11,13,1974,4.88,11.0548,49.3,0.111,0.5997,0.0093
11,14,1974,4.88,11.0548,49.3,0.111,0.609,-0.001
11,15,1974,4.88,11.0548,49.3,0.111,0.608,0.0105
11,18,1974,4.88,11.0548,49.3,0.111,0.6185,0.0135
11,19,1974,4.88,11.0548,49.3,0.111,0.632,-0.0115
11,20,1974,4.88,11.0548,49.3,0.111,0.6205,-0.007
11,21,1974,4.88,11.0548,49.3,0.111,0.6135,-0.006
11,22,1974,4.88,11.0548,49.3,0.111,0.6075,-0.0084
11,25,1974,4.88,11.0548,49.3,0.111,0.5991,-0.0012
11,26,1974,4.88,11.0548,49.3,0.111,0.5979,0.011
11,27,1974,4.88,11.0548,49.3,0.111,0.6089,0.0055
11,29,1974,4.88,11.0548,49.3,0.111,0.6144,-0.0009
